"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"TMO","Thermo Fisher Scientific Inc","Health Care","US Equity","Common stocks","Large cap","$213,986,924,450","1,245,827","Analyze"
"DHR","Danaher Corp","Health Care","US Equity","Common stocks","Large cap","$179,907,490,460","2,562,069","Analyze"
"DXCM","Dexcom Inc","Health Care","US Equity","Common stocks","Large cap","$44,244,367,505","2,691,928","Analyze"
"IDXX","Idexx Laboratories Inc","Health Care","US Equity","Common stocks","Large cap","$39,689,159,833","393,945","Analyze"
"A","Agilent Technologies Inc","Health Care","US Equity","Common stocks","Large cap","$38,775,383,984","1,711,686","Analyze"
"IQV","IQVIA Holdings, Inc.","Health Care","US Equity","Common stocks","Large cap","$34,994,547,104","1,285,556","Analyze"
"ILMN","Illumina Inc","Health Care","US Equity","Common stocks","Large cap","$34,278,100,000","1,351,142","Analyze"
"MTD","Mettler Toledo Inc","Health Care","US Equity","Common stocks","Large cap","$32,025,875,675","90,050","Analyze"
"LH","Laboratory Corporation Of America","Health Care","US Equity","Common stocks","Large cap","$18,996,525,000","675,075","Analyze"
"WAT","Waters Corp","Health Care","US Equity","Common stocks","Large cap","$17,575,203,372","443,651","Analyze"
"ICLR","Icon Plc","Health Care","US Equity","Common stocks","Large cap","$16,986,240,907","511,981","Analyze"
"PKI","Perkinelmer Inc","Health Care","US Equity","Common stocks","Large cap","$15,814,139,324","852,719","Analyze"
"DGX","Quest Diagnostics Inc","Health Care","US Equity","Common stocks","Large cap","$15,072,021,376","1,508,442","Analyze"
"PHG","Koninklijke Philips NV ADRs","Industrials","US Equity","ADRs","Large cap","$14,611,446,797","1,751,430","Analyze"
"EXAS","Exact Sciences Corp","Health Care","US Equity","Common stocks","Large cap","$11,657,183,258","2,182,658","Analyze"
"QGEN","Qiagen Nv","Health Care","US Equity","Common stocks","Large cap","$10,436,244,124","742,989","Analyze"
"CRL","Charles River Laboratories International","Health Care","US Equity","Common stocks","Mid cap","$9,876,406,435","659,048","Analyze"
"NTRA","Natera Inc","Health Care","US Equity","Common stocks","Mid cap","$6,310,012,098","1,839,178","Analyze"
"QDEL","Quidel Corp","Health Care","US Equity","Common stocks","Mid cap","$5,664,277,353","440,135","Analyze"
"MEDP","Medpace Holdings Inc","Health Care","US Equity","Common stocks","Mid cap","$5,605,174,883","418,171","Analyze"
"LNTH","Lantheus Holdings Inc","Health Care","US Equity","Common stocks","Mid cap","$5,430,328,672","1,146,807","Analyze"
"SHC","Sotera Health Co","Health Care","US Equity","Common stocks","Mid cap","$4,916,988,800","1,274,131","Analyze"
"OCDX","Ortho Clinical Diagnostics Holdings plc","Health Care","US Equity","Common stocks","Mid cap","$4,153,230,336","5,847,503","Analyze"
"NEOG","Neogen Corp","Health Care","US Equity","Common stocks","Mid cap","$3,953,461,836","1,638,198","Analyze"
"SYNH","Syneos Health Inc","Health Care","US Equity","Common stocks","Mid cap","$3,440,002,282","1,518,067","Analyze"
"OLK","Olink Holding AB  ADRs","Health Care","US Equity","ADRs","Mid cap","$2,737,830,664","93,292","Analyze"
"GH","Guardant Health Inc","Health Care","US Equity","Common stocks","Mid cap","$2,513,208,208","1,961,567","Analyze"
"NEO","Neogenomics Inc","Health Care","US Equity","Common stocks","Mid cap","$2,314,636,917","1,461,196","Analyze"
"PACB","Pacific Biosciences Of California","Health Care","US Equity","Common stocks","Mid cap","$2,283,013,416","4,180,410","Analyze"
"MYGN","Myriad Genetics Inc","Health Care","US Equity","Common stocks","Small cap","$1,919,316,338","829,522","Analyze"
"RDNT","RadNet, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,338,330,686","397,465","Analyze"
"VIVO","Meridian Bioscience Inc","Health Care","US Equity","Common stocks","Small cap","$1,122,930,304","2,039,919","Analyze"
"NRC","National Research Corporation","Health Care","US Equity","Common stocks","Small cap","$1,067,396,526","61,823","Analyze"
"OPK","Opko Health Inc","Health Care","US Equity","Common stocks","Small cap","$973,540,023","5,419,768","Analyze"
"HSKA","Heska Corp","Health Care","US Equity","Common stocks","Small cap","$969,739,406","113,302","Analyze"
"TWST","Twist Bioscience Corporation","Health Care","US Equity","Common stocks","Small cap","$908,594,036","1,472,009","Analyze"
"FLGT","Fulgent Genetics Inc","Health Care","US Equity","Common stocks","Small cap","$889,992,152","479,296","Analyze"
"ME","23andMe Holding Co.","Health Care","US Equity","Common stocks","Small cap","$632,354,244","2,046,854","Analyze"
"CSTL","Castle Biosciences, Inc.","Health Care","US Equity","Common stocks","Small cap","$588,915,651","227,281","Analyze"
"MXCT","MaxCyte, Inc","Health Care","US Equity","Common stocks","Small cap","$502,622,976","669,048","Analyze"
"CDNA","CareDx, Inc.","Health Care","US Equity","Common stocks","Small cap","$473,944,881","3,383,838","Analyze"
