"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ZTS","Zoetis Inc","Health Care","US Equity","Common stocks","Large cap","$74,716,474,088","2,194,091","Analyze"
"TAK","Takeda Pharmaceutical Company Limited ADRs","Health Care","US Equity","ADRs","Large cap","$51,329,670,075","2,727,912","Analyze"
"CTLT","Catalent Inc","Health Care","US Equity","Common stocks","Large cap","$11,280,867,855","1,939,234","Analyze"
"VTRS","Viatris Inc.","Health Care","US Equity","Common stocks","Large cap","$11,010,688,423","11,020,263","Analyze"
"TEVA","Teva Pharmaceutical Industries Ltd ADRs","Health Care","US Equity","ADRs","Mid cap","$9,475,059,146","9,330,484","Analyze"
"RDY","Dr. Reddys Laboratories ADRs","Health Care","US Equity","ADRs","Mid cap","$9,075,521,054","199,538","Analyze"
"ELAT","Elanco Animal Health Incorporated 5.00% Tangible Equity Units","Health Care","US Equity","Units","Mid cap","$6,510,840,554","105,726","Analyze"
"PRGO","Perrigo Plc","Health Care","US Equity","Common stocks","Mid cap","$4,485,139,037","1,455,440","Analyze"
"ELAN","Elanco Animal Health Incorporated","Health Care","US Equity","Common stocks","Mid cap","$4,320,667,374","9,492,615","Analyze"
"EVO","Evotec SE ADRs","Consumer Discretionary","US Equity","ADRs","Mid cap","$3,427,572,889","10,054","Analyze"
"BHC","Bausch Health Companies Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,634,399,994","3,516,910","Analyze"
"SNDL","Sundial Growers Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,556,748,120","4,629,809","Analyze"
"SUPN","Supernus Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Small cap","$1,903,191,640","605,441","Analyze"
"PCRX","Pacira Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Small cap","$1,773,764,570","718,371","Analyze"
"AMPH","Amphastar Pharmaceuticals Inc","Health Care","US Equity","Common stocks","Small cap","$1,767,871,626","501,875","Analyze"
"EMBC","Embecta Corp.","Health Care","US Equity","Common stocks","Small cap","$1,685,549,835","973,800","Analyze"
"IRWD","Ironwood Pharma Inc","Health Care","US Equity","Common stocks","Small cap","$1,620,201,063","2,209,690","Analyze"
"TLRY","Tilray, Inc. - Class 2","Health Care","US Equity","Common stocks","Small cap","$1,606,440,974","13,085,404","Analyze"
"CGC","Canopy Growth Corporation","Health Care","US Equity","Common stocks","Small cap","$949,351,668","5,115,077","Analyze"
"AMYT","Amryt Pharma plc ADRs","Health Care","US Equity","ADRs","Small cap","$930,660,908","325,673","Analyze"
"TARO","Taro Pharmaceutical Industries Ltd","Health Care","US Equity","Common stocks","Small cap","$905,037,914","17,255","Analyze"
"COLL","Collegium Pharmaceutical Inc","Health Care","US Equity","Common stocks","Small cap","$783,531,064","437,460","Analyze"
"CRON","Cronos Group Inc.","Health Care","US Equity","Common stocks","Small cap","$734,510,528","2,680,123","Analyze"
"CALT","Calliditas Therapeutics AB ADRs","Health Care","US Equity","ADRs","Small cap","$679,127,503","8,663","Analyze"
