"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"CERN","Cerner Corp","Health Care","US Equity","Common stocks","Large cap","$27,621,681,152","38,200,339","Analyze"
"VEEV","Veeva Systems Inc Class A","Health Care","US Equity","Common stocks","Large cap","$24,530,488,891","1,149,027","Analyze"
"CHNGU","Change Healthcare Inc. - Tangible Equity Units","Health Care","US Equity","Units","Mid cap","$7,396,648,453","362,164","Analyze"
"CHNG","Change Healthcare Inc.","Health Care","US Equity","Common stocks","Mid cap","$7,190,654,976","28,984,942","Analyze"
"SGFY","Signify Health, Inc.","Health Care","US Equity","Common stocks","Mid cap","$5,174,479,542","1,509,834","Analyze"
"HQY","Healthequity Inc","Health Care","US Equity","Common stocks","Mid cap","$4,882,025,337","899,309","Analyze"
"TXG","10x Genomics, Inc.","Health Care","US Equity","Common stocks","Mid cap","$4,763,708,771","1,018,199","Analyze"
"TDOC","Teladoc Inc","Health Care","US Equity","Common stocks","Mid cap","$3,940,214,562","3,578,213","Analyze"
"DOCS","Doximity, Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,906,551,964","1,496,660","Analyze"
"RCM","R1 RCM Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,845,875,000","1,872,090","Analyze"
"PINC","Premier Inc Class A","Health Care","US Equity","Common stocks","Mid cap","$3,726,491,046","546,343","Analyze"
"EVH","Evolent Health Inc Class A","Health Care","US Equity","Common stocks","Mid cap","$3,324,909,275","1,049,300","Analyze"
"PGNY","Progyny, Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,086,150,931","1,493,648","Analyze"
"PRVA","Privia Health Group, Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,066,983,192","903,312","Analyze"
"OMCL","Omnicell Inc","Health Care","US Equity","Common stocks","Mid cap","$2,520,213,139","596,142","Analyze"
"CVET","Covetrus, Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,512,096,256","5,301,029","Analyze"
"AGTI","Agiliti, Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,113,914,358","311,375","Analyze"
"ONEM","1Life Healthcare, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,707,622,400","15,268,322","Analyze"
"PHR","Phreesia, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,634,637,432","444,348","Analyze"
"SDGR","Schrodinger, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,597,298,866","596,468","Analyze"
"MDRX","Allscripts Healthcare Solutions Inc","Health Care","US Equity","Common stocks","Small cap","$1,408,358,513","1,584,940","Analyze"
"DH","Definitive Healthcare Corp.","Health Care","US Equity","Common stocks","Small cap","$1,141,616,340","1,074,776","Analyze"
"NXGN","Nextgen Healthcare Inc","Health Care","US Equity","Common stocks","Small cap","$1,101,899,770","494,988","Analyze"
"ACCD","Accolade, Inc.","Health Care","US Equity","Common stocks","Small cap","$964,424,398","620,404","Analyze"
"SLP","Simulations Plus Inc","Health Care","US Equity","Common stocks","Small cap","$870,307,136","119,369","Analyze"
"HSTM","Healthstream Inc","Health Care","US Equity","Common stocks","Small cap","$798,195,263","165,529","Analyze"
