"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"HCA","HCA Healthcare, Inc.","Health Care","US Equity","Common stocks","Large cap","$70,081,642,967","1,253,283","Analyze"
"FMS","Fresenius Medical Care AG  ADRs","Health Care","US Equity","ADRs","Large cap","$11,890,116,077","1,183,357","Analyze"
"AGL","agilon health, inc.","Health Care","US Equity","Common stocks","Large cap","$11,732,571,762","2,850,694","Analyze"
"UHS","Universal Health Services Inc.","Health Care","US Equity","Common stocks","Mid cap","$8,887,776,694","963,535","Analyze"
"OSH","Oak Street Health, Inc.","Health Care","US Equity","Common stocks","Mid cap","$8,708,337,373","3,456,628","Analyze"
"CHE","Chemed Corp","Health Care","US Equity","Common stocks","Mid cap","$7,650,057,714","75,429","Analyze"
"DVA","Davita Inc","Health Care","US Equity","Common stocks","Mid cap","$6,801,696,000","771,621","Analyze"
"ACHC","Acadia Healthcare Company Inc","Health Care","US Equity","Common stocks","Mid cap","$6,340,886,935","1,072,156","Analyze"
"THC","Tenet Healthcare Corp","Health Care","US Equity","Common stocks","Mid cap","$5,641,439,466","1,564,174","Analyze"
"OPCH","Option Care Health, Inc.","Health Care","US Equity","Common stocks","Mid cap","$5,638,869,464","2,296,269","Analyze"
"EHC","Encompass Health Corp","Health Care","US Equity","Common stocks","Mid cap","$5,161,891,363","1,081,126","Analyze"
"LHCG","LHC Group Inc","Health Care","US Equity","Common stocks","Mid cap","$5,161,363,968","1,283,675","Analyze"
"ENSG","Ensign Group Inc","Health Care","US Equity","Common stocks","Mid cap","$4,894,951,573","413,049","Analyze"
"SGRY","Surgery Partners Inc","Health Care","US Equity","Common stocks","Mid cap","$3,988,777,211","856,493","Analyze"
"AMN","AMN Healthcare Services Inc","Health Care","US Equity","Common stocks","Mid cap","$3,396,192,521","765,750","Analyze"
"SEM","Select Medical Holdings Corp","Health Care","US Equity","Common stocks","Mid cap","$3,113,275,310","640,910","Analyze"
"LFST","LifeStance Health Group, Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,660,936,381","1,064,363","Analyze"
"AMED","Amedisys Inc","Health Care","US Equity","Common stocks","Mid cap","$2,271,706,514","486,947","Analyze"
"AMEH","Apollo Medical Holdings Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,211,258,742","276,588","Analyze"
"ADUS","Addus Homecare Corp","Health Care","US Equity","Common stocks","Small cap","$1,608,099,548","154,171","Analyze"
"TVTY","Tivity Health Inc","Health Care","US Equity","Common stocks","Small cap","$1,607,078,912","1,434,702","Analyze"
