"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ABT","Abbott Laboratories","Health Care","US Equity","Common stocks","Large cap","$168,650,302,450","5,660,540","Analyze"
"SYK","Stryker Corp","Health Care","US Equity","Common stocks","Large cap","$103,905,834,976","1,345,688","Analyze"
"MDT","Medtronic Plc","Health Care","US Equity","Common stocks","Large cap","$103,200,967,030","6,349,829","Analyze"
"BSX","Boston Scientific Corp","Health Care","US Equity","Common stocks","Large cap","$68,905,505,471","7,773,188","Analyze"
"EW","Edwards Lifesciences Corp","Health Care","US Equity","Common stocks","Large cap","$48,215,275,206","4,294,330","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Health Care","US Equity","Common stocks","Large cap","$26,114,172,790","1,305,226","Analyze"
"ALGN","Align Technology Inc","Health Care","US Equity","Common stocks","Large cap","$23,862,582,162","925,573","Analyze"
"PODD","Insulet Corp","Health Care","US Equity","Common stocks","Large cap","$21,661,717,633","791,073","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Health Care","US Equity","Common stocks","Large cap","$13,544,591,575","198,985","Analyze"
"BIO.B","Bio-Rad Laboratories Inc. Class B","Health Care","US Equity","Common stocks","Large cap","$13,544,591,575","238","Analyze"
"SNN","Smith & Nephew PLC ADRs","Health Care","US Equity","ADRs","Large cap","$12,261,955,025","1,113,373","Analyze"
"BRKR","Bruker Corp","Health Care","US Equity","Common stocks","Large cap","$10,982,779,272","976,907","Analyze"
"ABMD","Abiomed Inc","Health Care","US Equity","Common stocks","Large cap","$10,737,233,920","20,612,257","Analyze"
"PEN","Penumbra Inc","Health Care","US Equity","Common stocks","Large cap","$10,606,868,944","353,988","Analyze"
"SWAV","ShockWave Medical, Inc.","Health Care","US Equity","Common stocks","Mid cap","$7,694,687,395","481,562","Analyze"
"INSP","Inspire Medical Systems Inc","Health Care","US Equity","Common stocks","Mid cap","$6,852,347,285","328,125","Analyze"
"GMED","Globus Medical Inc Class A","Health Care","US Equity","Common stocks","Mid cap","$5,247,033,849","1,476,008","Analyze"
"IART","Integra Lifesciences Holdings Corp","Health Care","US Equity","Common stocks","Mid cap","$4,425,491,138","604,225","Analyze"
"NARI","Inari Medical, Inc.","Health Care","US Equity","Common stocks","Mid cap","$3,351,696,946","1,004,524","Analyze"
"CNMD","CONMED Corporation","Health Care","US Equity","Common stocks","Mid cap","$2,939,535,931","413,863","Analyze"
"AXNX","Axonics Modulation Technologies, Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,762,987,135","813,623","Analyze"
"TNDM","Tandem Diabetes Care Inc","Health Care","US Equity","Common stocks","Mid cap","$2,692,755,902","2,388,483","Analyze"
"INMD","InMode Ltd.","Health Care","US Equity","Common stocks","Mid cap","$2,526,186,586","1,378,001","Analyze"
"ITGR","Integer Holdings Corp","Health Care","US Equity","Common stocks","Mid cap","$2,508,993,793","446,045","Analyze"
"TMDX","TransMedics Group, Inc.","Health Care","US Equity","Common stocks","Mid cap","$2,376,402,924","493,758","Analyze"
"LIVN","Livanova PLC","Health Care","US Equity","Common stocks","Mid cap","$2,274,888,435","763,223","Analyze"
"NUVA","Nuvasive Inc","Health Care","US Equity","Common stocks","Small cap","$1,921,191,900","1,153,081","Analyze"
"AHCO","AdaptHealth Corp.  - Class A","Health Care","US Equity","Common stocks","Small cap","$1,852,970,528","2,598,929","Analyze"
"ATEC","Alphatec Holdngs Inc","Health Care","US Equity","Common stocks","Small cap","$1,726,648,359","1,340,424","Analyze"
"ESTA","Establishment Labs Holdings Inc.","Health Care","US Equity","Common stocks","Small cap","$1,690,955,433","178,151","Analyze"
"SILK","Silk Road Medical, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,486,941,925","715,088","Analyze"
"FNA","Paragon 28, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,484,712,424","407,244","Analyze"
"TMCI","Treace Medical Concepts, Inc","Health Care","US Equity","Common stocks","Small cap","$1,472,638,166","553,517","Analyze"
"AVNS","Avanos Medical Inc","Health Care","US Equity","Common stocks","Small cap","$1,304,449,543","329,485","Analyze"
"PRCT","PROCEPT BioRobotics Corp","Health Care","US Equity","Common stocks","Small cap","$1,287,649,206","381,966","Analyze"
"CTKB","Cytek BioSciences, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,185,017,960","957,931","Analyze"
"NTUS","Natus Medical Inc","Health Care","US Equity","Common stocks","Small cap","$1,129,895,168","132,698","Analyze"
"NVRO","Nevro Corp","Health Care","US Equity","Common stocks","Small cap","$1,095,194,340","544,227","Analyze"
"KIDS","OrthoPediatrics Corp.","Health Care","US Equity","Common stocks","Small cap","$952,158,599","155,277","Analyze"
"OM","Outset Medical, Inc.","Health Care","US Equity","Common stocks","Small cap","$916,322,192","663,582","Analyze"
"CSII","Cardiovascular Systems Inc","Health Care","US Equity","Common stocks","Small cap","$829,528,204","783,981","Analyze"
"VREX","Varex Imaging Corp","Health Care","US Equity","Common stocks","Small cap","$699,344,000","289,014","Analyze"
"SIBN","Si-Bone, Inc.","Health Care","US Equity","Common stocks","Small cap","$674,523,139","423,777","Analyze"
"VRAY","ViewRay, Inc.","Health Care","US Equity","Common stocks","Small cap","$610,865,946","1,502,527","Analyze"
"OFIX","Orthofix International Nv","Health Care","US Equity","Common stocks","Small cap","$563,238,464","400,842","Analyze"
"RXST","RxSight, Inc.","Health Care","US Equity","Common stocks","Small cap","$542,100,274","246,925","Analyze"
"CUTR","Cutera Inc","Health Care","US Equity","Common stocks","Small cap","$503,921,630","1,010,691","Analyze"
"AORT","Artivion, Inc.","Health Care","US Equity","Common stocks","Small cap","$476,538,053","187,935","Analyze"
"IRMD","Iradimed Corp","Health Care","US Equity","Common stocks","Small cap","$473,506,012","40,319","Analyze"
"APEN","Apollo Endosurgery Inc","Health Care","US Equity","Common stocks","Small cap","$470,736,734","1,143,995","Analyze"
"ZYXI","Zynex, Inc.","Health Care","US Equity","Common stocks","Small cap","$443,137,573","382,678","Analyze"
"SGHT","Sight Sciences, Inc.","Health Care","US Equity","Common stocks","Small cap","$434,323,292","176,440","Analyze"
"LUNG","Pulmonx Corp","Health Care","US Equity","Common stocks","Small cap","$427,310,384","767,418","Analyze"
"MDXG","MiMedx Group, Inc","Health Care","US Equity","Common stocks","Small cap","$403,854,160","615,755","Analyze"
"EDAP","Edap TMS SA ADRs","Health Care","US Equity","ADRs","Small cap","$403,094,692","73,964","Analyze"
"VMD","Viemed Healthcare, Inc.","Health Care","US Equity","Common stocks","Small cap","$401,953,534","149,723","Analyze"
"QTRX","Quanterix Corporation","Health Care","US Equity","Common stocks","Small cap","$398,932,560","357,673","Analyze"
"AXGN","AxoGen, Inc.","Health Care","US Equity","Common stocks","Small cap","$373,192,802","302,159","Analyze"
"BFLY","Butterfly Network, Inc. Class A","Health Care","US Equity","Common stocks","Small cap","$337,830,607","1,724,777","Analyze"
"RCEL","Avita Medical Limited","Health Care","US Equity","Common stocks","Small cap","$325,560,627","193,202","Analyze"
"TCMD","Tactile Systems Technology Inc","Health Care","US Equity","Common stocks","Small cap","$322,192,630","379,241","Analyze"
"NNOX","Nano-X Imaging Ltd.","Health Care","US Equity","Common stocks","Small cap","$309,878,380","521,089","Analyze"
"SPNE","Seaspine Holdings Corp","Health Care","US Equity","Common stocks","Small cap","$304,705,632","484,366","Analyze"
"INGN","Inogen Inc","Health Care","US Equity","Common stocks","Micro cap","$291,713,590","374,747","Analyze"
"ARAY","Accuray Inc","Health Care","US Equity","Common stocks","Micro cap","$265,475,347","320,508","Analyze"
"MASS","908 Devices Inc.","Information Technology","US Equity","Common stocks","Micro cap","$244,517,694","409,369","Analyze"
"QIPT","Quipt Home Medical Corp.","Health Care","US Equity","Common stocks","Micro cap","$225,953,721","102,205","Analyze"
"CLPT","ClearPoint Neuro Inc.","Health Care","US Equity","Common stocks","Micro cap","$193,182,879","85,282","Analyze"
"TELA","TELA Bio, Inc.","Health Care","US Equity","Common stocks","Micro cap","$191,783,041","36,218","Analyze"
"CVRX","CVRx, Inc.","Health Care","US Equity","Common stocks","Micro cap","$190,972,863","187,892","Analyze"
"XAIR","Beyond Air, Inc.","Health Care","US Equity","Common stocks","Micro cap","$189,274,321","333,280","Analyze"
"PROF","Profound Medical Corp.","Health Care","US Equity","Common stocks","Micro cap","$186,082,820","27,310","Analyze"
"SMLR","Semler Scientific Inc.","Health Care","US Equity","Common stocks","Micro cap","$175,992,505","37,265","Analyze"
"ZIMV","ZimVie Inc.","Health Care","US Equity","Common stocks","Micro cap","$163,712,971","2,315,296","Analyze"
"EYES","Second Sight Medical Products Inc","Health Care","US Equity","Common stocks","Micro cap","$163,153,989","144,265","Analyze"
"ASXC","Asensus Surgical, Inc.","Health Care","US Equity","Common stocks","Micro cap","$159,838,870","1,305,696","Analyze"
"RBOT","Vicarious Surgical Inc. Class A","Health Care","US Equity","Common stocks","Micro cap","$159,498,260","565,728","Analyze"
"SIEN","Sientra Inc","Health Care","US Equity","Common stocks","Micro cap","$149,473,945","71,681","Analyze"
"CTSO","Cytosorbents Corp","Health Care","US Equity","Common stocks","Micro cap","$144,961,190","57,302","Analyze"
"FONR","Fonar Corp","Health Care","US Equity","Common stocks","Micro cap","$101,602,820","7,898","Analyze"
"EAR","Eargo, Inc.","Health Care","US Equity","Common stocks","Micro cap","$99,489,283","73,446","Analyze"
"APYX","Apyx Medical Corporation","Health Care","US Equity","Common stocks","Micro cap","$99,295,749","295,158","Analyze"
"NAOV","NanoVibronix, Inc.","Health Care","US Equity","Common stocks","Micro cap","$99,112,187","16,463","Analyze"
"NPCE","NeuroPace Inc","Health Care","US Equity","Common stocks","Micro cap","$98,639,270","31,608","Analyze"
"SONX","Sonendo, Inc.","Health Care","US Equity","Common stocks","Micro cap","$91,050,390","238,377","Analyze"
"ELMD","Electromed Inc","Health Care","US Equity","Common stocks","Micro cap","$85,397,065","18,378","Analyze"
"SRTS","Sensus Healthcare Inc","Health Care","US Equity","Common stocks","Micro cap","$82,396,041","265,049","Analyze"
"NVCN","Neovasc Inc.","Health Care","US Equity","Common stocks","Micro cap","$79,655,297","38,515","Analyze"
"ISO","IsoPlexis Corp","Health Care","US Equity","Common stocks","Micro cap","$74,249,912","31,760","Analyze"
"XTNT","Xtant Medical Holdings Inc","Health Care","US Equity","Common stocks","Micro cap","$73,113,478","95,676","Analyze"
"HYPR","Hyperfine, Inc.  - Class A","Health Care","US Equity","Common stocks","Micro cap","$70,548,753","532,784","Analyze"
"BSGM","Biosig Technologies Inc.","Health Care","US Equity","Common stocks","Micro cap","$64,946,993","352,549","Analyze"
"LUCD","Lucid Diagnostics Inc.","Health Care","US Equity","Common stocks","Micro cap","$60,317,265","103,338","Analyze"
"SDC","SmileDirectClub, Inc.","Health Care","US Equity","Common stocks","Micro cap","$54,134,448","1,558,892","Analyze"
"TMDI","Titan Medical Inc.","Health Care","US Equity","Common stocks","Micro cap","$50,597,368","852,194","Analyze"
"MOVE","Movano Inc.","Information Technology","US Equity","Common stocks","Micro cap","$50,339,851","36,163","Analyze"
"DCTH","Delcath Systems Inc","Health Care","US Equity","Common stocks","Micro cap","$46,917,487","17,876","Analyze"
"NVNO","enVVeno Medical Corporation","Health Care","US Equity","Common stocks","Micro cap","$46,412,800","22,032","Analyze"
"RPID","Rapid Micro Biosystems, Inc","Health Care","US Equity","Common stocks","Micro cap","$45,427,534","78,835","Analyze"
"MDGS","Medigus Ltd. ADRs","Health Care","US Equity","ADRs","Micro cap","$42,360,709","6,781","Analyze"
"OWLT","Owlet, Inc. Class A","Health Care","US Equity","Common stocks","Micro cap","$39,451,816","1,064,051","Analyze"
"DNAY","Codex DNA, Inc.","Health Care","US Equity","Common stocks","Micro cap","$38,378,284","19,956","Analyze"
"RWLK","Rewalk Robotics Ltd","Health Care","US Equity","Common stocks","Micro cap","$38,364,685","245,122","Analyze"
"PAVM","Pavmed Inc.","Health Care","US Equity","Common stocks","Micro cap","$35,234,287","359,691","Analyze"
"SSKN","Strata Skin Sciences Inc","Health Care","US Equity","Common stocks","Micro cap","$33,681,355","11,489","Analyze"
"IRIX","Iridex Corp","Health Care","US Equity","Common stocks","Micro cap","$33,454,966","16,508","Analyze"
"PETV","PetVivo Holdings Inc","Health Care","US Equity","Common stocks","Micro cap","$31,832,956","56,408","Analyze"
"VAPO","Vapotherm, Inc.","Health Care","US Equity","Common stocks","Micro cap","$28,177,678","122,619","Analyze"
"LNSR","LENSAR, Inc.","Health Care","US Equity","Common stocks","Micro cap","$25,091,901","16,293","Analyze"
"IVC","Invacare Corp","Health Care","US Equity","Common stocks","Micro cap","$24,910,310","110,098","Analyze"
"NMTC","NeuroOne Medical Technologies Corporation","Health Care","US Equity","Common stocks","Micro cap","$24,873,198","273,662","Analyze"
"BTCY","Biotricity Inc.","Health Care","US Equity","Common stocks","Micro cap","$24,610,175","47,280","Analyze"
"AFIB","Acutus Medical, Inc.","Health Care","US Equity","Common stocks","Micro cap","$23,040,630","158,552","Analyze"
"TNON","Tenon Medical, Inc.","Health Care","US Equity","Common stocks","Micro cap","$21,940,033","74,749","Analyze"
"NMRD","Nemaura Medical Inc","Health Care","US Equity","Common stocks","Micro cap","$21,096,563","33,937","Analyze"
"MODD","Modular Medical, Inc.","Health Care","US Equity","Common stocks","Micro cap","$19,896,418","2,805","Analyze"
"VERO","Venus Concept Inc.","Health Care","US Equity","Common stocks","Micro cap","$14,405,689","342,435","Analyze"
"TLIS","Talis Biomedical Corporation","Health Care","US Equity","Common stocks","Micro cap","$13,570,479","71,746","Analyze"
"AZYO","Aziyo Biologics, Inc.","Health Care","US Equity","Common stocks","Micro cap","$13,245,350","338,653","Analyze"
"STRR","Star Equity Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$12,711,904","36,104","Analyze"
"MYO","Myomo Inc.","Health Care","US Equity","Common stocks","Micro cap","$12,553,027","975,590","Analyze"
"SRGA","Surgalign Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$11,553,439","53,041","Analyze"
"IINN","Inspira Technologies Oxy B.H.N. Ltd.","Health Care","US Equity","Common stocks","Micro cap","$9,581,463","19,454","Analyze"
"CFMS","ConforMIS, Inc","Health Care","US Equity","Common stocks","Micro cap","$9,219,709","65,725","Analyze"
"BJDX","Bluejay Diagnostics, Inc.","Health Care","US Equity","Common stocks","Micro cap","$9,206,576","34,249","Analyze"
"NSPR","Inspiremd Inc","Health Care","US Equity","Common stocks","Micro cap","$9,085,811","11,727","Analyze"
"AEMD","Aethlon Medical Inc","Health Care","US Equity","Common stocks","Micro cap","$8,523,925","115,867","Analyze"
"VVOS","Vivos Therapeutics, Inc.","Health Care","US Equity","Common stocks","Micro cap","$8,456,597","1,019,210","Analyze"
"AVGR","Avinger Inc","Health Care","US Equity","Common stocks","Micro cap","$8,243,209","65,281","Analyze"
"AHPI","Allied Healthcare Products Inc.","Health Care","US Equity","Common stocks","Micro cap","$8,027,080","6,572","Analyze"
"INVO","INVO BioScience, Inc.","Health Care","US Equity","Common stocks","Micro cap","$7,997,936","124,424","Analyze"
"GBS","GBS Inc.","Health Care","US Equity","Common stocks","Micro cap","$7,045,903","11,030","Analyze"
"HSDT","Helius Medical Technologies Inc. Class A","Health Care","US Equity","Common stocks","Micro cap","$6,894,857","250,581","Analyze"
"DYNT","Dynatronics Corporation","Health Care","US Equity","Common stocks","Micro cap","$6,387,597","5,878","Analyze"
"NUWE","Nuwellis, Inc.","Health Care","US Equity","Common stocks","Micro cap","$5,793,274","111,554","Analyze"
"TIVC","Tivic Health Systems, Inc.","Health Care","US Equity","Common stocks","Micro cap","$5,104,570","1,078,079","Analyze"
"THMO","ThermoGenesis Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$4,065,581","5,894,172","Analyze"
"RMED","Ra Medical Systems, Inc.","Health Care","US Equity","Common stocks","Micro cap","$4,010,796","117,345","Analyze"
"BIOL","Biolase Technology Inc","Health Care","US Equity","Common stocks","Micro cap","$2,818,134","271,664","Analyze"
"BBLG","Bone Biologics Corp.","Health Care","US Equity","Common stocks","Micro cap","$2,442,737","78,220","Analyze"
