"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ISRG","Intuitive Surgical Inc","Health Care","US Equity","Common stocks","Large cap","$85,627,330,501","1,563,053","Analyze"
"BDX","Becton Dickinson","Health Care","US Equity","Common stocks","Large cap","$67,108,670,136","1,023,860","Analyze"
"ALC","Alcon Inc.","Health Care","US Equity","Common stocks","Large cap","$33,429,930,000","1,326,706","Analyze"
"RMD","Resmed Inc","Health Care","US Equity","Common stocks","Large cap","$30,937,653,284","684,711","Analyze"
"WST","West Pharmaceutical Services Inc","Health Care","US Equity","Common stocks","Large cap","$24,646,478,925","583,105","Analyze"
"HOLX","Hologic Inc","Health Care","US Equity","Common stocks","Large cap","$19,361,652,072","1,609,957","Analyze"
"BAX","Baxter International Inc","Health Care","US Equity","Common stocks","Large cap","$19,238,102,968","6,258,672","Analyze"
"STE","STERIS PLC","Health Care","US Equity","Common stocks","Large cap","$18,012,183,649","624,352","Analyze"
"COO","Cooper Companies, Inc.","Health Care","US Equity","Common stocks","Large cap","$17,060,225,853","386,530","Analyze"
"TFX","Teleflex Inc","Health Care","US Equity","Common stocks","Large cap","$11,329,502,368","440,841","Analyze"
"MASI","Masimo Corp","Health Care","US Equity","Common stocks","Mid cap","$9,174,830,898","383,746","Analyze"
"RGEN","Repligen Corp","Health Care","US Equity","Common stocks","Mid cap","$9,036,698,499","622,210","Analyze"
"XRAY","Dentsply Sirona Inc","Health Care","US Equity","Common stocks","Mid cap","$7,916,703,775","2,668,212","Analyze"
"NVST","Envista Holdings Corporation","Health Care","US Equity","Common stocks","Mid cap","$6,165,253,831","1,885,422","Analyze"
"NVCR","Novocure Ltd","Health Care","US Equity","Common stocks","Mid cap","$5,991,435,654","799,907","Analyze"
"BLCO","Bausch + Lomb Corporation","Health Care","US Equity","Common stocks","Mid cap","$5,547,514,788","336,235","Analyze"
"MMSI","Merit Medical Systems Inc","Health Care","US Equity","Common stocks","Mid cap","$4,064,994,829","381,921","Analyze"
