"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"WBA","Walgreen Boots Alliance Inc","Consumer Staples","US Equity","Common stocks","Large cap","$27,884,739,901","7,921,593","Analyze"
"STVN","Stevanato Group S.p.A.","Health Care","US Equity","Common stocks","Mid cap","$6,803,331,629","321,949","Analyze"
"PETS","Petmed Express Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$352,318,269","486,098","Analyze"
"YI","111, Inc. ADRs","Consumer Staples","US Equity","ADRs","Micro cap","$126,089,330","88,460","Analyze"
"RAD","Rite Aid Corp","Consumer Staples","US Equity","Common stocks","Micro cap","$125,481,846","3,594,844","Analyze"
"HITI","High Tide Inc.","Health Care","US Equity","Common stocks","Micro cap","$78,475,890","256,863","Analyze"
"CJJD","China Jo-Jo Drugstores Inc.","Consumer Staples","US Equity","Common stocks","Micro cap","$67,948,634","858,922","Analyze"
"LFMD","LifeMD, Inc.","Consumer Staples","US Equity","Common stocks","Micro cap","$46,236,157","80,472","Analyze"
"LFLY","Leafly Holdings, Inc.","Communication Services","US Equity","Common stocks","Micro cap","$15,713,960","230,781","Analyze"
"GNLN","Greenlane Holdings, Inc. - Class A","Consumer Discretionary","US Equity","Common stocks","Micro cap","$5,361,583","113,697","Analyze"
"MEDS","Trxade Group, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$3,486,129","88,184","Analyze"
"BIMI","NF Energy Saving Corporation","Industrials","US Equity","Common stocks","Micro cap","$2,331,212","112,285","Analyze"
