,Symbol,Security,GICS Sector,Market Cap,Average Volume
0,MMM,3M,Industrials,57556000000.0,3648116.0
1,AOS,A. O. Smith,Industrials,11432000000.0,1022067.0
2,ABT,Abbott,Health Care,198745000000.0,4775809.0
3,ABBV,AbbVie,Health Care,253599000000.0,5969209.0
4,ACN,Accenture,Information Technology,198734000000.0,2552522.0
5,ATVI,Activision Blizzard,Communication Services,72256000000.0,11753903.0
6,ADM,ADM,Consumer Staples,45405000000.0,2876364.0
7,ADBE,Adobe Inc.,Information Technology,241768000000.0,4036804.0
8,ADP,ADP,Industrials,98195000000.0,1761096.0
9,AAP,Advance Auto Parts,Consumer Discretionary,4203999999.9999995,2581088.0
10,AES,AES Corporation,Utilities,15053000000.0,6014688.0
11,AFL,Aflac,Financials,44100000000.0,2293659.0
12,A,Agilent Technologies,Health Care,37696000000.0,2101177.0
13,APD,Air Products and Chemicals,Materials,67245999999.99999,818908.0
14,AKAM,Akamai,Information Technology,14264000000.0,1412496.0
15,ALK,Alaska Air Group,Industrials,7094000000.0,1450803.0
16,ALB,Albemarle Corporation,Materials,25343000000.0,2082659.0
17,ARE,Alexandria Real Estate Equities,Real Estate,21321000000.0,992511.0
18,ALGN,Align Technology,Health Care,25815000000.0,749925.0
19,ALLE,Allegion,Industrials,11010000000.0,775533.0
20,LNT,Alliant Energy,Utilities,14012000000.0,1358480.0
21,ALL,Allstate,Financials,29129000000.0,1991790.0
22,GOOGL,Alphabet Inc. (Class A),Communication Services,1526000000000.0,34547588.0
23,GOOG,Alphabet Inc. (Class C),Communication Services,1525000000000.0,26413590.0
24,MO,Altria,Consumer Staples,81398000000.0,7357470.0
25,AMZN,Amazon,Consumer Discretionary,1334000000000.0,63607420.0
26,AMCR,Amcor,Materials,14848000000.0,7682867.0
27,AMD,AMD,Information Technology,178669000000.0,70480925.0
28,AEE,Ameren,Utilities,23186000000.0,1302927.0
29,AAL,American Airlines Group,Industrials,11382000000.0,24265756.0
30,AEP,American Electric Power,Utilities,45266000000.0,2964780.0
31,AXP,American Express,Financials,126514000000.0,2948838.0
32,AIG,American International Group,Financials,43587000000.0,3883332.0
33,AMT,American Tower,Real Estate,86167000000.0,2195854.0
34,AWK,American Water Works,Utilities,28967000000.0,916312.0
35,AMP,Ameriprise Financial,Financials,37255000000.0,575817.0
36,ABC,AmerisourceBergen,Health Care,39004000000.0,1332472.0
37,AME,Ametek,Industrials,36530000000.0,971461.0
38,AMGN,Amgen,Health Care,125471000000.0,2570780.0
39,APH,Amphenol,Information Technology,49781000000.0,2818874.0
40,ADI,Analog Devices,Information Technology,96321000000.0,3654525.0
41,ANSS,Ansys,Information Technology,29617000000.0,473037.0
42,AON,Aon,Financials,69627000000.0,833420.0
43,APA,APA Corporation,Energy,11924000000.0,5392751.0
44,AAPL,Apple Inc.,Information Technology,3019000000000.0,57417554.0
45,AMAT,Applied Materials,Information Technology,114541000000.0,6062854.0
46,APTV,Aptiv,Consumer Discretionary,29550000000.0,2109603.0
47,ACGL,Arch Capital Group,Financials,30727000000.0,2042637.0
48,ANET,Arista Networks,Information Technology,52914000000.0,3371417.0
49,AJG,Arthur J. Gallagher & Co.,Financials,46836000000.0,878785.0
50,AIZ,Assurant,Financials,6986000000.0,400635.0
