,Unnamed: 0,Symbol,Security,GICS Sector,Market Cap,Average Volume,Return from 2017-2019 (Pre-Covid),Return from 2020-2022 (Post-Covid)
0,0,MMM,3M,Industrials,57556000000.0,3648116.0,-1.6775708601927866,-32.50787758204863
1,1,AOS,A. O. Smith,Industrials,11432000000.0,1022067.0,-0.27253892250718537,19.474017659715468
2,2,ABT,Abbott,Health Care,198745000000.0,4775809.0,124.69583394187777,27.573790413806456
3,3,ABBV,AbbVie,Health Care,253599000000.0,5969209.0,40.68658490005517,81.42119138799993
4,4,ACN,Accenture,Information Technology,198734000000.0,2552522.0,79.45135825389947,26.548418650052344
5,5,ATVI,Activision Blizzard,Communication Services,72256000000.0,11753903.0,61.58068959135106,27.775001246414607
6,6,ADM,ADM,Consumer Staples,45405000000.0,2876364.0,0.9411256688557135,99.37727954170553
7,7,ADBE,Adobe Inc.,Information Technology,241768000000.0,4036804.0,217.45141193957826,1.9787875088778408
8,8,ADP,ADP,Industrials,98195000000.0,1761096.0,65.64758828632303,38.9043913029165
9,9,AAP,Advance Auto Parts,Consumer Discretionary,4204000000.0,2581088.0,-6.827499558175943,-8.375398728215552
10,10,AES,AES Corporation,Utilities,15053000000.0,6014688.0,71.72237176104174,44.0160301340082
11,11,AFL,Aflac,Financials,44100000000.0,2293659.0,50.4922369355456,35.63348642466929
12,12,A,Agilent Technologies,Health Care,37696000000.0,2101177.0,84.84650764592234,74.21419236110216
13,13,APD,Air Products and Chemicals,Materials,67245999999.99999,818908.0,63.92449556500249,31.035073226620618
14,14,AKAM,Akamai,Information Technology,14264000000.0,1412496.0,27.66463734061999,-2.924911784023815
15,15,ALK,Alaska Air Group,Industrials,7094000000.0,1450803.0,-23.88663776557235,-36.99193299298286
16,16,ALB,Albemarle Corporation,Materials,25343000000.0,2082659.0,-17.46414337833786,195.04761987802934
17,17,ARE,Alexandria Real Estate Equities,Real Estate,21321000000.0,992511.0,42.753688285376604,-10.041372965039251
18,18,ALGN,Align Technology,Health Care,25815000000.0,749925.0,185.65655610435786,-25.000005426311663
19,19,ALLE,Allegion,Industrials,11010000000.0,775533.0,92.01733279480635,-15.650291398360588
20,20,LNT,Alliant Energy,Utilities,14012000000.0,1358480.0,43.33158417626516,0.9692735485349065
21,21,ALL,Allstate,Financials,29129000000.0,1991790.0,51.04053600414379,20.031870973074998
22,22,GOOGL,Alphabet Inc. (Class A),Communication Services,1526000000000.0,34547588.0,67.33406480687897,30.865242946087672
23,23,GOOG,Alphabet Inc. (Class C),Communication Services,1525000000000.0,26413590.0,71.5617468542865,32.2798317830951
24,24,MO,Altria,Consumer Staples,81398000000.0,7357470.0,-26.350751457091636,-8.926080224780605
25,25,AMZN,Amazon,Consumer Discretionary,1334000000000.0,63607420.0,143.67874684335712,-10.4
26,26,AMCR,Amcor,Materials,14848000000.0,7682867.0,2.069616788902353,9.46690921081961
27,27,AMD,AMD,Information Technology,178669000000.0,70480925.0,298.5989505574151,38.2202215096823
28,28,AEE,Ameren,Utilities,23186000000.0,1302927.0,45.57900235112725,15.570568426563858
29,29,AAL,American Airlines Group,Industrials,11382000000.0,24265756.0,-40.143824095332576,-56.10765884074534
30,30,AEP,American Electric Power,Utilities,45266000000.0,2964780.0,49.23028294568739,0.47618724681712965
