Symbol,Name,price,dividend yield,price/earnings,book value,52 week low,52 week high,market capitalization,ebitda,price/sales,price/book,SEC Filings
MMM,3M Co.,92.29,2.49,14.98,23.731,68.63,92.34,63.802B,7.569B,2.14,3.86,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany
ACE,ACE Limited,72.74,2.43,12.24,75.98,56.9,77.42,24.666B,2.860B,1.47,0.96,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ACE&action=getcompany
ABT,Abbott Laboratories,66.11,3.01,21.37,16.178,48.22,67.45,104.0B,11.630B,2.62,4.06,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ABT&action=getcompany
ANF,Abercrombie & Fitch Company A,32.01,2.17,27.06,20.511,28.64,77.49,2.643B,503.1M,0.63,1.57,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ANF&action=getcompany
ACN,Accenture,61.63,2.19,15.88,6.422,47.4,65.89,39.123B,4.411B,1.41,9.58,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ACN&action=getcompany
ADBE,Adobe Systems Inc,32.64,N/A,21.09,12.348,22.67,34.78,16.051B,1.492B,3.7,2.64,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ADBE&action=getcompany
AMD,Advanced Micro Devices,4.34,N/A,N/A,1.512,3.89,8.35,3.207B,89.0M,0.51,2.89,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMD&action=getcompany
AES,AES Corp,11.78,N/A,64.26,8.169,9,14.01,8.830B,4.894B,0.5,1.44,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AES&action=getcompany
AET,Aetna Inc,37.73,1.8,7.4,30.688,33.43,51.14,12.609B,3.677B,0.36,1.22,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AET&action=getcompany
AFL,AFLAC Inc,45.86,2.82,8.33,21.337,31.25,50.33,30.475B,4.177B,1.26,2.14,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AFL&action=getcompany
