"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"JNJ","Johnson & Johnson","Health Care","US Equity","Common stocks","Large cap","$471,501,804,279","8,943,713","Analyze"
"LLY","Eli Lilly","Health Care","US Equity","Common stocks","Large cap","$316,106,512,334","3,792,061","Analyze"
"ABBV","Abbvie Inc","Health Care","US Equity","Common stocks","Large cap","$273,971,219,521","7,552,780","Analyze"
"MRK","Merck & Co Inc","Health Care","US Equity","Common stocks","Large cap","$264,597,492,835","10,832,183","Analyze"
"PFE","Pfizer Inc","Health Care","US Equity","Common stocks","Large cap","$226,792,087,106","24,867,457","Analyze"
"AZN","AstraZeneca PLC ADRs","Health Care","US Equity","ADRs","Large cap","$208,483,600,671","4,044,633","Analyze"
"NVS","Novartis AG ADRs","Health Care","US Equity","ADRs","Large cap","$198,331,040,503","2,271,007","Analyze"
"BMY","Bristol Myers Squibb","Health Care","US Equity","Common stocks","Large cap","$140,576,015,006","8,575,789","Analyze"
"SNY","Sanofi SA ADRs","Health Care","US Equity","ADRs","Large cap","$130,446,064,833","1,262,224","Analyze"
"AMGN","Amgen Inc","Health Care","US Equity","Common stocks","Large cap","$124,469,861,078","2,903,115","Analyze"
"GILD","Gilead Sciences Inc","Health Care","US Equity","Common stocks","Large cap","$98,222,001,929","6,312,042","Analyze"
"GSK","GlaxoSmithKline PLC ADRs","Health Care","US Equity","ADRs","Large cap","$72,111,783,971","2,827,273","Analyze"
"MRNA","Moderna, Inc.","Health Care","US Equity","Common stocks","Large cap","$57,628,000,036","3,453,513","Analyze"
"BIIB","Biogen Inc","Health Care","US Equity","Common stocks","Large cap","$38,313,258,750","988,196","Analyze"
"HZNP","Horizon Pharma Plc","Health Care","US Equity","Common stocks","Large cap","$24,626,696,987","1,738,093","Analyze"
"OGN","Organon & Co.","Health Care","US Equity","Common stocks","Mid cap","$5,448,878,119","2,493,999","Analyze"
"GRFS","Grifols SA ADRs","Health Care","US Equity","ADRs","Small cap","$1,811,676,012","1,480,293","Analyze"
"TSVT","2seventy bio, Inc.","Health Care","US Equity","Common stocks","Small cap","$476,300,756","1,138,751","Analyze"
"CRXT","Clarus Therapeutics Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$20,963,152","2,737,134","Analyze"
