"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"UNH","Unitedhealth Group Inc","Health Care","US Equity","Common stocks","Large cap","$438,353,946,746","3,298,476","Analyze"
"ANTM","Anthem Inc","Materials","US Equity","Common stocks","Large cap","$116,342,693,132","1,260,140","Analyze"
"CVS","CVS Health Corp","Health Care","US Equity","Common stocks","Large cap","$92,931,161,341","8,785,145","Analyze"
"CI","Cigna Corp","Health Care","US Equity","Common stocks","Large cap","$76,219,647,872","1,842,853","Analyze"
"HUM","Humana Inc","Health Care","US Equity","Common stocks","Large cap","$61,406,290,838","942,184","Analyze"
"CNC","Centene Corp","Health Care","US Equity","Common stocks","Large cap","$34,498,136,102","3,900,726","Analyze"
"MOH","Molina Healthcare Inc","Health Care","US Equity","Common stocks","Large cap","$15,364,323,776","565,519","Analyze"
"ALHC","Alignment Healthcare, Inc.","Health Care","US Equity","Common stocks","Small cap","$1,146,164,873","1,480,890","Analyze"
"MPLN","MultiPlan Corporation Class A","Health Care","US Equity","Common stocks","Small cap","$671,131,585","2,691,363","Analyze"
"OSCR","Oscar Health, Inc.","Financials","US Equity","Common stocks","Small cap","$635,968,399","1,509,386","Analyze"
"CLOV","Clover Health Investments, Corp.  - Class A","Health Care","US Equity","Common stocks","Small cap","$348,985,264","10,192,397","Analyze"
"BHG","Bright Health Group Inc.","Financials","US Equity","Common stocks","Micro cap","$152,603,208","5,025,455","Analyze"
"MRAI","Marpai, Inc.","Financials","US Equity","Common stocks","Micro cap","$20,186,563","22,140","Analyze"
